Human.Gene	Mouse.Gene	Gene.Type	Cell.Type	Tissue.of.Origin	Reference	Added.By	Added.Date	Comments
MS4A1	Ms4a1	Protein Coding	B cell	Blood	https://satijalab.org/seurat/v3.1/pbmc3k_tutorial.html	Monica Hannani	2020-02-11	
CD14	Cd14	Protein Coding	CD14+ Monocyte	Blood	https://satijalab.org/seurat/v3.1/pbmc3k_tutorial.html	Monica Hannani	2020-02-11	
LYZ	Lyz2	Protein Coding	CD14+ Monocyte	Blood	https://satijalab.org/seurat/v3.1/pbmc3k_tutorial.html	Monica Hannani	2020-02-11	
CD8A	Cd8a	Protein Coding	CD8+ T cell	Blood	https://satijalab.org/seurat/v3.1/pbmc3k_tutorial.html	Monica Hannani	2020-02-11	
CST3	Cst3	Protein Coding	Dendritic cell	Blood	https://satijalab.org/seurat/v3.1/pbmc3k_tutorial.html	Monica Hannani	2020-02-11	
FCER1A	Fcer1a	Protein Coding	Dendritic cell	Blood	https://satijalab.org/seurat/v3.1/pbmc3k_tutorial.html	Monica Hannani	2020-02-11	
FCGR3A	Fcgr4	Protein Coding	FCGR3A+ Monocyte	Blood	https://satijalab.org/seurat/v3.1/pbmc3k_tutorial.html	Monica Hannani	2020-02-11	
MS4A7	Ms4a7	Protein Coding	FCGR3A+ Monocyte	Blood	https://satijalab.org/seurat/v3.1/pbmc3k_tutorial.html	Monica Hannani	2020-02-11	
IL7R	Il7r	Protein Coding	Memory CD4+ T cell	Blood	https://satijalab.org/seurat/v3.1/pbmc3k_tutorial.html	Monica Hannani	2020-02-11	
								
								
S100A4	S100a4	Protein Coding	Memory CD4+ T cell	Blood	https://satijalab.org/seurat/v3.1/pbmc3k_tutorial.html	Monica Hannani	2020-02-11	
CCR7	Ccr7	Protein Coding	Naive CD4+ T cell	Blood	https://satijalab.org/seurat/v3.1/pbmc3k_tutorial.html	Monica Hannani	2020-02-11	
IL7R	Il7r	Protein Coding	Naive CD4+ T cell	Blood	https://satijalab.org/seurat/v3.1/pbmc3k_tutorial.html	Monica Hannani	2020-02-11	
GNLY	NA	Protein Coding	Natural killer	Blood	https://satijalab.org/seurat/v3.1/pbmc3k_tutorial.html	Monica Hannani	2020-02-11	
NKG7	Nkg7	Protein Coding	Natural killer	Blood	https://satijalab.org/seurat/v3.1/pbmc3k_tutorial.html	Monica Hannani	2020-02-11	
PPBP	Ppbp	Protein Coding	Platelet	Blood	https://satijalab.org/seurat/v3.1/pbmc3k_tutorial.html	Monica Hannani	2020-02-11	
ADIPOQ	Adipoq	Protein Coding	Adipocyte	Heart	NA	Christoph Kuppe	2020-02-10	
APOE	Apoe	Protein Coding	Adipocyte	Heart	Wolfien et al, Cells, 2020 (PMID: 32013057)	Monica Hannani	2020-02-11	
								
								
CD38	Cd38	Protein Coding	Adipocyte	Heart	Wolfien et al, Cells, 2020 (PMID: 32013057)	Monica Hannani	2020-02-11	
CIDEA	Cidea	Protein Coding	Adipocyte	Heart	Wolfien et al, Cells, 2020 (PMID: 32013057)	Monica Hannani	2020-02-11	
DLK1	Dlk1	Protein Coding	Adipocyte	Heart	Wolfien et al, Cells, 2020 (PMID: 32013057)	Monica Hannani	2020-02-11	
FASN	Fasn	Protein Coding	Adipocyte	Heart	NA	Christoph Kuppe	2020-02-10	
LDLR	Ldlr	Protein Coding	Adipocyte	Heart	Wolfien et al, Cells, 2020 (PMID: 32013057)	Monica Hannani	2020-02-11	
P2RX5	P2rx5	Protein Coding	Adipocyte	Heart	Wolfien et al, Cells, 2020 (PMID: 32013057)	Monica Hannani	2020-02-11	
PLIN1	Plin1	Protein Coding	Adipocyte	Heart	NA	Christoph Kuppe	2020-02-10	
PPARG	Pparg	Protein Coding	Adipocyte	Heart	Wolfien et al, Cells, 2020 (PMID: 32013057)	Monica Hannani	2020-02-11	
SLC36A2	Slc36a2	Protein Coding	Adipocyte	Heart	Wolfien et al, Cells, 2020 (PMID: 32013057)	Monica Hannani	2020-02-11	
								
SLC7A10	Slc7a10	Protein Coding	Adipocyte	Heart	Wolfien et al, Cells, 2020 (PMID: 32013057)	Monica Hannani	2020-02-11	
TBX1	Tbx1	Protein Coding	Adipocyte	Heart	Wolfien et al, Cells, 2020 (PMID: 32013057)	Monica Hannani	2020-02-11	
TMEM26	Tmem26	Protein Coding	Adipocyte	Heart	Wolfien et al, Cells, 2020 (PMID: 32013057)	Monica Hannani	2020-02-11	
TNFRSF9	Tnfrsf9	Protein Coding	Adipocyte	Heart	Wolfien et al, Cells, 2020 (PMID: 32013057)	Monica Hannani	2020-02-11	
TUSC5	Tusc5	Protein Coding	Adipocyte	Heart	NA	Christoph Kuppe	2020-02-10	
UCP1	Ucp1	Protein Coding	Adipocyte	Heart	Wolfien et al, Cells, 2020 (PMID: 32013057)	Monica Hannani	2020-02-11	
ACTA1	Acta1	Protein Coding	Cardiomyocyte	Heart	Wolfien et al, Cells, 2020 (PMID: 32013057)	Monica Hannani	2020-02-11	
ACTC1	Actc1	Protein Coding	Cardiomyocyte	Heart	Wolfien et al, Cells, 2020 (PMID: 32013057)	Monica Hannani	2020-02-11	
ACTN2	Actn2	Protein Coding	Cardiomyocyte	Heart	Wolfien et al, Cells, 2020 (PMID: 32013057)	Monica Hannani	2020-02-11	
ATP2A2	Atp2a2	Protein Coding	Cardiomyocyte	Heart	Wolfien et al, Cells, 2020 (PMID: 32013057)	Monica Hannani	2020-02-11	
CAMK2B	Camk2b	Protein Coding	Cardiomyocyte	Heart	NA	Christoph Kuppe	2020-02-10	
GJA1	Gja1	Protein Coding	Cardiomyocyte	Heart	Wolfien et al, Cells, 2020 (PMID: 32013057)	Monica Hannani	2020-02-11	
HCN4	Hcn4	Protein Coding	Cardiomyocyte	Heart	Wolfien et al, Cells, 2020 (PMID: 32013057)	Monica Hannani	2020-02-11	
MYH6	Myh6	Protein Coding	Cardiomyocyte	Heart	Wolfien et al, Cells, 2020 (PMID: 32013057)	Monica Hannani	2020-02-11	
MYLK3	Mylk3	Protein Coding	Cardiomyocyte	Heart	NA	Christoph Kuppe	2020-02-10	
MYOM3	Myom3	Protein Coding	Cardiomyocyte	Heart	NA	Christoph Kuppe	2020-02-10	
NPPA	Nppa	Protein Coding	Cardiomyocyte	Heart	Wolfien et al, Cells, 2020 (PMID: 32013057)	Monica Hannani	2020-02-11	
RYR2	Ryr2	Protein Coding	Cardiomyocyte	Heart	Wolfien et al, Cells, 2020 (PMID: 32013057)	Christoph Kuppe	2020-02-10	
SCN5A	Scn5a	Protein Coding	Cardiomyocyte	Heart	Wolfien et al, Cells, 2020 (PMID: 32013057)	Monica Hannani	2020-02-11	
TBX5	Tbx5	Protein Coding	Cardiomyocyte	Heart	NA	Christoph Kuppe	2020-02-10	
TNNC1	Tnnc1	Protein Coding	Cardiomyocyte	Heart	Wolfien et al, Cells, 2020 (PMID: 32013057)	Monica Hannani	2020-02-11	
TNNT1	Tnnt1	Protein Coding	Cardiomyocyte	Heart	NA	Christoph Kuppe	2020-02-10	
TNNT2	Tnnt2	Protein Coding	Cardiomyocyte	Heart	NA	Christoph Kuppe	2020-02-10	
CD34	Cd34	Protein Coding	Cardiovascular progenitor cell	Heart	Wolfien et al, Cells, 2020 (PMID: 32013057)	Monica Hannani	2020-02-11	
ISL1	Isl1	Protein Coding	Cardiovascular progenitor cell	Heart	Wolfien et al, Cells, 2020 (PMID: 32013057)	Monica Hannani	2020-02-11	
KDR	Kdr	Protein Coding	Cardiovascular progenitor cell	Heart	Wolfien et al, Cells, 2020 (PMID: 32013057)	Monica Hannani	2020-02-11	
KIT	Kit	Protein Coding	Cardiovascular progenitor cell	Heart	Wolfien et al, Cells, 2020 (PMID: 32013057)	Monica Hannani	2020-02-11	
LBH	Lbh	Protein Coding	Cardiovascular progenitor cell	Heart	Wolfien et al, Cells, 2020 (PMID: 32013057)	Monica Hannani	2020-02-11	
PDGFRA	Pdgfra	Protein Coding	Cardiovascular progenitor cell	Heart	Wolfien et al, Cells, 2020 (PMID: 32013057)	Monica Hannani	2020-02-11	
TBXT	Tbxt	Protein Coding	Cardiovascular progenitor cell	Heart	Wolfien et al, Cells, 2020 (PMID: 32013057)	Monica Hannani	2020-02-11	
CDH5	Cdh5	Protein Coding	Endothelial	Heart	Wolfien et al, Cells, 2020 (PMID: 32013057)	Monica Hannani	2020-02-11	
EDNRB	Ednrb	Protein Coding	Endothelial	Heart	Wolfien et al, Cells, 2020 (PMID: 32013057)	Monica Hannani	2020-02-11	
EGFL7	Egfl7	Protein Coding	Endothelial	Heart	Wolfien et al, Cells, 2020 (PMID: 32013057)	Christoph Kuppe	2020-02-10	
EMCN	Emcn	Protein Coding	Endothelial	Heart	Wolfien et al, Cells, 2020 (PMID: 32013057)	Christoph Kuppe	2020-02-10	
EPAS1	Epas1	Protein Coding	Endothelial	Heart	Wolfien et al, Cells, 2020 (PMID: 32013057)	Monica Hannani	2020-02-11	
ERG	Erg	Protein Coding	Endothelial	Heart	NA	Christoph Kuppe	2020-02-10	
FABP4	Fabp4	Protein Coding	Endothelial	Heart	Wolfien et al, Cells, 2020 (PMID: 32013057)	Monica Hannani	2020-02-11	
FLT1	Flt1	Protein Coding	Endothelial	Heart	Wolfien et al, Cells, 2020 (PMID: 32013057)	Monica Hannani	2020-02-11	
PECAM1	Pecam1	Protein Coding	Endothelial	Heart	Wolfien et al, Cells, 2020 (PMID: 32013057)	Christoph Kuppe	2020-02-10	
TIE1	Tie1	Protein Coding	Endothelial	Heart	Wolfien et al, Cells, 2020 (PMID: 32013057)	Christoph Kuppe	2020-02-10	
VWF	Vwf	Protein Coding	Endothelial	Heart	NA	Christoph Kuppe	2020-02-10	
EPCAM	Epcam	Protein Coding	Epithelial	Heart	Wolfien et al, Cells, 2020 (PMID: 32013057)	Monica Hannani	2020-02-11	
MUC1	Muc1	Protein Coding	Epithelial	Heart	Wolfien et al, Cells, 2020 (PMID: 32013057)	Monica Hannani	2020-02-11	
TNFRSF1A	Tnfrsf1a	Protein Coding	Epithelial	Heart	Wolfien et al, Cells, 2020 (PMID: 32013057)	Monica Hannani	2020-02-11	
GYPA	Gypa	Protein Coding	Erythrocyte	Heart	Wolfien et al, Cells, 2020 (PMID: 32013057)	Monica Hannani	2020-02-11	
NA	Hbb-bs	Protein Coding	Erythrocyte	Heart	Wolfien et al, Cells, 2020 (PMID: 32013057)	Monica Hannani	2020-02-11	
ITGA2B	Itga2b	Protein Coding	Erythrocyte	Heart	Wolfien et al, Cells, 2020 (PMID: 32013057)	Monica Hannani	2020-02-11	
TFRC	Tfrc	Protein Coding	Erythrocyte	Heart	Wolfien et al, Cells, 2020 (PMID: 32013057)	Monica Hannani	2020-02-11	
CKAP4	Ckap4	Protein Coding	Fibroblast	Heart	Wolfien et al, Cells, 2020 (PMID: 32013057)	Monica Hannani	2020-02-11	
COL15A1	Col15a1	Protein Coding	Fibroblast	Heart	NA	Christoph Kuppe	2020-02-10	
COL1A2	Col1a2	Protein Coding	Fibroblast	Heart	Wolfien et al, Cells, 2020 (PMID: 32013057)	Monica Hannani	2020-02-11	
COL3A1	Col3a1	Protein Coding	Fibroblast	Heart	Wolfien et al, Cells, 2020 (PMID: 32013057)	Monica Hannani	2020-02-11	
DCN	Dcn	Protein Coding	Fibroblast	Heart	NA	Christoph Kuppe	2020-02-10	
DDR2	Ddr2	Protein Coding	Fibroblast	Heart	Wolfien et al, Cells, 2020 (PMID: 32013057)	Monica Hannani	2020-02-11	
FBLN2	Fbln2	Protein Coding	Fibroblast	Heart	Wolfien et al, Cells, 2020 (PMID: 32013057)	Monica Hannani	2020-02-11	
FSTL1	Fstl1	Protein Coding	Fibroblast	Heart	Wolfien et al, Cells, 2020 (PMID: 32013057)	Monica Hannani	2020-02-11	
GSN	Gsn	Protein Coding	Fibroblast	Heart	Wolfien et al, Cells, 2020 (PMID: 32013057)	Monica Hannani	2020-02-11	
MEG3	Meg3	LncRNA	Fibroblast	Heart	NA	Christoph Kuppe	2020-02-10	
MEG8	Meg8	LncRNA	Fibroblast	Heart	NA	Christoph Kuppe	2020-02-10	
MMP2	Mmp2	Protein Coding	Fibroblast	Heart	Wolfien et al, Cells, 2020 (PMID: 32013057)	Monica Hannani	2020-02-11	
PDGFRB	Pdgfrb	Protein Coding	Fibroblast	Heart	NA	Christoph Kuppe	2020-02-10	
S100A4	S100a4	Protein Coding	Fibroblast	Heart	Wolfien et al, Cells, 2020 (PMID: 32013057)	Monica Hannani	2020-02-11	
SCARA5	Scara5	Protein Coding	Fibroblast	Heart	NA	Christoph Kuppe	2020-02-10	
SPARC	Sparc	Protein Coding	Fibroblast	Heart	Wolfien et al, Cells, 2020 (PMID: 32013057)	Monica Hannani	2020-02-11	
THY1	Thy1	Protein Coding	Fibroblast	Heart	Wolfien et al, Cells, 2020 (PMID: 32013057)	Monica Hannani	2020-02-11	
VIM	Vim	Protein Coding	Fibroblast	Heart	Wolfien et al, Cells, 2020 (PMID: 32013057)	Monica Hannani	2020-02-11	
ANPEP	Anpep	Protein Coding	Fibrocyte	Heart	Wolfien et al, Cells, 2020 (PMID: 32013057)	Monica Hannani	2020-02-11	
CD86	Cd86	Protein Coding	Fibrocyte	Heart	Wolfien et al, Cells, 2020 (PMID: 32013057)	Monica Hannani	2020-02-11	
FN1	Fn1	Protein Coding	Fibrocyte	Heart	Wolfien et al, Cells, 2020 (PMID: 32013057)	Monica Hannani	2020-02-11	
ICAM1	Icam1	Protein Coding	Fibrocyte	Heart	Wolfien et al, Cells, 2020 (PMID: 32013057)	Monica Hannani	2020-02-11	
ITGAM	Itgam	Protein Coding	Fibrocyte	Heart	Wolfien et al, Cells, 2020 (PMID: 32013057)	Monica Hannani	2020-02-11	
ITGB2	Itgb2	Protein Coding	Fibrocyte	Heart	Wolfien et al, Cells, 2020 (PMID: 32013057)	Monica Hannani	2020-02-11	
FLT4	Flt4	Protein Coding	Lymphatic endothelial cell	Heart	NA	Christoph Kuppe	2020-02-10	
PROX1	Prox1	Protein Coding	Lymphatic endothelial cell	Heart	NA	Christoph Kuppe	2020-02-10	
RELN	Reln	Protein Coding	Lymphatic endothelial cell	Heart	NA	Christoph Kuppe	2020-02-10	
TBX1	Tbx1	Protein Coding	Lymphatic endothelial cell	Heart	NA	Christoph Kuppe	2020-02-10	
CD19	Cd19	Protein Coding	Lymphocyte	Heart	Wolfien et al, Cells, 2020 (PMID: 32013057)	Monica Hannani	2020-02-11	
CD2AP	Cd2ap	Protein Coding	Lymphocyte	Heart	Wolfien et al, Cells, 2020 (PMID: 32013057)	Monica Hannani	2020-02-11	
CD3G	Cd3g	Protein Coding	Lymphocyte	Heart	Wolfien et al, Cells, 2020 (PMID: 32013057)	Monica Hannani	2020-02-11	
CD4	Cd4	Protein Coding	Lymphocyte	Heart	Wolfien et al, Cells, 2020 (PMID: 32013057)	Monica Hannani	2020-02-11	
CD8A	Cd8a	Protein Coding	Lymphocyte	Heart	Wolfien et al, Cells, 2020 (PMID: 32013057)	Monica Hannani	2020-02-11	
MS4A1	Ms4a1	Protein Coding	Lymphocyte	Heart	Wolfien et al, Cells, 2020 (PMID: 32013057)	Monica Hannani	2020-02-11	
STAT6	Stat6	Protein Coding	Lymphocyte	Heart	Wolfien et al, Cells, 2020 (PMID: 32013057)	Monica Hannani	2020-02-11	
CPA3	Cpa3	Protein Coding	Mast cell	Heart	NA	Christoph Kuppe	2020-02-10	
KIT	Kit	Protein Coding	Mast cell	Heart	NA	Christoph Kuppe	2020-02-10	
SLC38A11	Slc38a11	Protein Coding	Mast cell	Heart	NA	Christoph Kuppe	2020-02-10	
SLC8A3	Slc8a3	Protein Coding	Mast cell	Heart	NA	Christoph Kuppe	2020-02-10	
ADGRE1	Adgre1	Protein Coding	Monocyte	Heart	Wolfien et al, Cells, 2020 (PMID: 32013057)	Monica Hannani	2020-02-11	
CD163	Cd163	Protein Coding	Monocyte	Heart	NA	Christoph Kuppe	2020-02-10	
CD68	Cd68	Protein Coding	Monocyte	Heart	Wolfien et al, Cells, 2020 (PMID: 32013057)	Monica Hannani	2020-02-11	
CD74	Cd74	Protein Coding	Monocyte	Heart	Wolfien et al, Cells, 2020 (PMID: 32013057)	Monica Hannani	2020-02-11	
CD86	Cd86	Protein Coding	Monocyte	Heart	NA	Christoph Kuppe	2020-02-10	
								
								
HCK	Hck	Protein Coding	Monocyte	Heart	NA	Christoph Kuppe	2020-02-10	
								
CD89	NA	Protein Coding	Monocyte	Heart	Wolfien et al, Cells, 2020 (PMID: 32013057)	Monica Hannani	2020-02-11	
SIGLEC1	Siglec1	Protein Coding	Monocyte	Heart	NA	Christoph Kuppe	2020-02-10	
SLC11A1	Slc11a1	Protein Coding	Monocyte	Heart	NA	Christoph Kuppe	2020-02-10	
ACTA2	Acta2	Protein Coding	Myofibroblast	Heart	Wolfien et al, Cells, 2020 (PMID: 32013057)	Monica Hannani	2020-02-11	
AOC3	Aoc3	Protein Coding	Myofibroblast	Heart	Wolfien et al, Cells, 2020 (PMID: 32013057)	Monica Hannani	2020-02-11	
								
LRRC17	Lrrc17	Protein Coding	Myofibroblast	Heart	Wolfien et al, Cells, 2020 (PMID: 32013057)	Monica Hannani	2020-02-11	
NKX2-3	Nkx2-3	Protein Coding	Myofibroblast	Heart	Wolfien et al, Cells, 2020 (PMID: 32013057)	Monica Hannani	2020-02-11	
								
VIM	Vim	Protein Coding	Myofibroblast	Heart	Wolfien et al, Cells, 2020 (PMID: 32013057)	Monica Hannani	2020-02-11	
ANO1	Ano1	Protein Coding	Neuronal	Heart	Wolfien et al, Cells, 2020 (PMID: 32013057)	Monica Hannani	2020-02-11	
								
GRIK3	Grik3	Protein Coding	Neuronal	Heart	NA	Christoph Kuppe	2020-02-10	
MEG3	Meg3	LncRNA	Neuronal	Heart	Wolfien et al, Cells, 2020 (PMID: 32013057)	Monica Hannani	2020-02-11	
NLGN1	Nlgn1	Protein Coding	Neuronal	Heart	Wolfien et al, Cells, 2020 (PMID: 32013057)	Monica Hannani	2020-02-11	
NRXN1	Nrxn1	Protein Coding	Neuronal	Heart	NA	Christoph Kuppe	2020-02-10	
SH3GL2	Sh3gl2	Protein Coding	Neuronal	Heart	Wolfien et al, Cells, 2020 (PMID: 32013057)	Monica Hannani	2020-02-11	
SNTG1	Sntg1	Protein Coding	Neuronal	Heart	Wolfien et al, Cells, 2020 (PMID: 32013057)	Monica Hannani	2020-02-11	
SOX10	Sox10	Protein Coding	Neuronal	Heart	NA	Christoph Kuppe	2020-02-10	
SPP1	Spp1	Protein Coding	Neuronal	Heart	NA	Christoph Kuppe	2020-02-10	
ZNF804B	Zfp804b	Protein Coding	Neuronal	Heart	Wolfien et al, Cells, 2020 (PMID: 32013057)	Monica Hannani	2020-02-11	
ABCC9	Abcc9	Protein Coding	Pericyte	Heart	NA	Christoph Kuppe	2020-02-10	
COX4I2	Cox4i2	Protein Coding	Pericyte	Heart	NA	Christoph Kuppe	2020-02-10	
EGFLAM	Egflam	Protein Coding	Pericyte	Heart	NA	Christoph Kuppe	2020-02-10	
NOTCH3	Notch3	Protein Coding	Pericyte	Heart	NA	Christoph Kuppe	2020-02-10	
RGS5	Rgs5	Protein Coding	Pericyte	Heart	NA	Christoph Kuppe	2020-02-10	
ACTA2	Acta2	Protein Coding	Smooth muscle	Heart	Wolfien et al, Cells, 2020 (PMID: 32013057)	Monica Hannani	2020-02-11	
CALD1	Cald1	Protein Coding	Smooth muscle	Heart	Wolfien et al, Cells, 2020 (PMID: 32013057)	Monica Hannani	2020-02-11	
CNN1	Cnn1	Protein Coding	Smooth muscle	Heart	Wolfien et al, Cells, 2020 (PMID: 32013057)	Monica Hannani	2020-02-11	
DES	Des	Protein Coding	Smooth muscle	Heart	Wolfien et al, Cells, 2020 (PMID: 32013057)	Monica Hannani	2020-02-11	
MYH11	Myh11	Protein Coding	Smooth muscle	Heart	Wolfien et al, Cells, 2020 (PMID: 32013057)	Monica Hannani	2020-02-11	
MYLK	Mylk	Protein Coding	Smooth muscle	Heart	Wolfien et al, Cells, 2020 (PMID: 32013057)	Monica Hannani	2020-02-11	
SMTN	Smtn	Protein Coding	Smooth muscle	Heart	Wolfien et al, Cells, 2020 (PMID: 32013057)	Monica Hannani	2020-02-11	
TAGLN	Tagln	Protein Coding	Smooth muscle	Heart	Wolfien et al, Cells, 2020 (PMID: 32013057)	Monica Hannani	2020-02-11	
CD2	Cd2	Protein Coding	T cell	Heart	NA	Christoph Kuppe	2020-02-10	
CD247	Cd247	Protein Coding	T cell	Heart	NA	Christoph Kuppe	2020-02-10	
ITK	Itk	Protein Coding	T cell	Heart	NA	Christoph Kuppe	2020-02-10	
PRKCQ	Prkcq	Protein Coding	T cell	Heart	NA	Christoph Kuppe	2020-02-10	
PTPRC	Ptprc	Protein Coding	T cell	Heart	NA	Christoph Kuppe	2020-02-10	
ACTG2	Actg2	Protein Coding	Vascular smooth muscle cell	Heart	Wolfien et al, Cells, 2020 (PMID: 32013057)	Monica Hannani	2020-02-11	
AQP1	Aqp1	Protein Coding	Vascular smooth muscle cell	Heart	Wolfien et al, Cells, 2020 (PMID: 32013057)	Monica Hannani	2020-02-11	
ELN	Eln	Protein Coding	Vascular smooth muscle cell	Heart	Wolfien et al, Cells, 2020 (PMID: 32013057)	Monica Hannani	2020-02-11	
LMOD1	Lmod1	Protein Coding	Vascular smooth muscle cell	Heart	NA	Christoph Kuppe	2020-02-10	
MYH11	Myh11	Protein Coding	Vascular smooth muscle cell	Heart	NA	Christoph Kuppe	2020-02-10	
MYLK	Mylk	Protein Coding	Vascular smooth muscle cell	Heart	NA	Christoph Kuppe	2020-02-10	
PLN	Pln	Protein Coding	Vascular smooth muscle cell	Heart	Wolfien et al, Cells, 2020 (PMID: 32013057)	Monica Hannani	2020-02-11	
CD19	Cd19	Protein Coding	B cell	Heart	Gu et al, Nature Genetics, 2019 (PMID: 30643249)	Monica Hannani	2020-03-05	
CD79A	Cd79a	Protein Coding	B cell	Heart	Gu et al, Nature Genetics, 2019 (PMID: 30643249)	Monica Hannani	2020-03-16	
FLT3	Flt3	Protein Coding	Dendritic cell	Heart	Gu et al, Nature Genetics, 2019 (PMID: 30643249)	Monica Hannani	2020-03-16	
ZBTB7C	Zbtb36	Protein Coding	Dendritic cell	Heart	Gu et al, Nature Genetics, 2019 (PMID: 30643249)	Monica Hannani	2020-03-16	
ITGAX	Itgax	Protein Coding	Dendritic cell	Heart	Gu et al, Nature Genetics, 2019 (PMID: 30643249)	Monica Hannani	2020-03-16	
PECAM1	Pecam1	Protein Coding	Endothelial	Heart	Gu et al, Nature Genetics, 2019 (PMID: 30643249)	Monica Hannani	2020-03-16	
SNCA	Snca	Protein Coding	Erythrocyte	Heart	Gu et al, Nature Genetics, 2019 (PMID: 30643249)	Monica Hannani	2020-03-16	
GYPA	Gypa	Protein Coding	Erythrocyte	Heart	Gu et al, Nature Genetics, 2019 (PMID: 30643249)	Monica Hannani	2020-03-16	
PTPRC	Ptprc	Protein Coding	Immune	Heart	Gu et al, Nature Genetics, 2019 (PMID: 30643249)	Monica Hannani	2020-03-16	
NA	Ms4a6c	Protein Coding	Inflammatory macrophage	Heart	Gu et al, Nature Genetics, 2019 (PMID: 30643249)	Monica Hannani	2020-03-16	
GNGT2	Gngt2	Protein Coding	Inflammatory macrophage	Heart	Gu et al, Nature Genetics, 2019 (PMID: 30643249)	Monica Hannani	2020-03-16	
LGALS3	Lgals3	Protein Coding	Inflammatory macrophage	Heart	Gu et al, Nature Genetics, 2019 (PMID: 30643249)	Monica Hannani	2020-03-16	
ADGRE1	Adgre1	Protein Coding	Inflammatory macrophage	Heart	Gu et al, Nature Genetics, 2019 (PMID: 30643249)	Monica Hannani	2020-03-16	
F13A1	F13a1	Protein Coding	Inflammatory macrophage	Heart	Gu et al, Nature Genetics, 2019 (PMID: 30643249)	Monica Hannani	2020-03-16	
IL1RL1	Il1rl1	Protein Coding	Innate lymphoid cell	Heart	Gu et al, Nature Genetics, 2019 (PMID: 30643249)	Monica Hannani	2020-03-16	
GATA3	Gata3	Protein Coding	Innate lymphoid cell	Heart	Gu et al, Nature Genetics, 2019 (PMID: 30643249)	Monica Hannani	2020-03-16	
FOLR2	Folr2	Protein Coding	M2 macrophage	Heart	Gu et al, Nature Genetics, 2019 (PMID: 30643249)	Monica Hannani	2020-03-16	
MRC1	Mrc1	Protein Coding	M2 macrophage	Heart	Gu et al, Nature Genetics, 2019 (PMID: 30643249)	Monica Hannani	2020-03-16	
NA	Cbr2	Protein Coding	M2 macrophage	Heart	Gu et al, Nature Genetics, 2019 (PMID: 30643249)	Monica Hannani	2020-03-16	
PF4	Pf4	Protein Coding	M2 macrophage	Heart	Gu et al, Nature Genetics, 2019 (PMID: 30643249)	Monica Hannani	2020-03-16	
SELENOP	Sepp1	Protein Coding	M2 macrophage	Heart	Gu et al, Nature Genetics, 2019 (PMID: 30643249)	Monica Hannani	2020-03-16	
C1QA	C1qa	Protein Coding	M2 macrophage	Heart	Gu et al, Nature Genetics, 2019 (PMID: 30643249)	Monica Hannani	2020-03-16	
CD14	Cd14	Protein Coding	Monocyte-macrophage	Heart	Gu et al, Nature Genetics, 2019 (PMID: 30643249)	Monica Hannani	2020-03-16	
CEBPA	Cebpa	Protein Coding	Monocyte-macrophage	Heart	Gu et al, Nature Genetics, 2019 (PMID: 30643249)	Monica Hannani	2020-03-16	
GZMA	Gzma	Protein Coding	Natural Killer	Heart	Gu et al, Nature Genetics, 2019 (PMID: 30643249)	Monica Hannani	2020-03-16	
GZMB	Gzmb	Protein Coding	Natural Killer	Heart	Gu et al, Nature Genetics, 2019 (PMID: 30643249)	Monica Hannani	2020-03-16	
NA	Klrb1c	Protein Coding	Natural Killer	Heart	Gu et al, Nature Genetics, 2019 (PMID: 30643249)	Monica Hannani	2020-03-16	
NA	Ly6a	Protein Coding	Non-immune	Heart	Gu et al, Nature Genetics, 2019 (PMID: 30643249)	Monica Hannani	2020-03-16	
CD34	Cd34	Protein Coding	Non-immune	Heart	Gu et al, Nature Genetics, 2019 (PMID: 30643249)	Monica Hannani	2020-03-16	
COL3A1	Col3a1	Protein Coding	Non-immune	Heart	Gu et al, Nature Genetics, 2019 (PMID: 30643249)	Monica Hannani	2020-03-16	
COL14A1	Col14a1	Protein Coding	Non-immune	Heart	Gu et al, Nature Genetics, 2019 (PMID: 30643249)	Monica Hannani	2020-03-16	
TAGLN	Tagln	Protein Coding	Smooth muscle	Heart	Gu et al, Nature Genetics, 2019 (PMID: 30643249)	Monica Hannani	2020-03-16	
CD3D	Cd3d	Protein Coding	T cell	Heart	Gu et al, Nature Genetics, 2019 (PMID: 30643249)	Monica Hannani	2020-03-05	
IMUP	2200002D01Rik	Protein Coding	Enterocyte (Distal)	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
NA	Abcb1a	Protein Coding	Enterocyte (Distal)	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
AMN	Amn	Protein Coding	Enterocyte (Distal)	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
ANPEP	Anpep	Protein Coding	Enterocyte (Distal)	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
ANXA2	Anxa2	Protein Coding	Enterocyte (Distal)	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
AOC1	Aoc1	Protein Coding	Enterocyte (Distal)	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
