HGNC.symbol	MGI.symbol
231	APOE	Apoe
232	ITK	Itk
233	IFIT2	Ifit2
234	BCR	Bcr
235	CBL	Cbl
236	IFNL2	Ifnl2
237	IFNL2	Ifnl3
238	KCNJ5	Kcnj5
239	TONSL	Tonsl
240	TRIM22	Trim75
241	DDT	Ddt
242	RAPGEF1	Rapgef1
243	MAPK8	Mapk8
244	BCL9L	Bcl9l
245	WRN	Wrn
246	BAK1	Bak1
247	CREB3	Creb3
248	IL2RG	Gm20489
249	IL2RG	Il2rg
250	FLACC1	Flacc1
251	CSNK1A1	Csnk1a1
252	MUC20	Muc20
253	ZNF778	Zfp763
254	CBY1	Cby1
255	TLN1	Tln1
256	HK1	Hk1
257	ESAM	Esam
258	ARHGEF11	Arhgef11
259	LEAP2	Leap2
260	CPEB3	Cpeb3
261	FBXW7	Fbxw7
262	CTAGE1	Mia2
263	PLAUR	Plaur
264	APOL1	Apol7a
265	APOL1	Apol9a
266	APOL1	Apol7b
267	APOL1	Apol10a
268	APOL1	Apol11a
269	APOL1	Apol7c
270	APOL1	Apol10b
271	APOL1	Apol11b
272	APOL1	Apol7e
273	APOL1	Apol9b
274	APOL1	Apol8
275	ZBTB20	Zbtb20
276	CHPF2	Chpf2
277	DUSP1	Dusp1
278	PDE6C	Pde6c
279	NOCT	Noct
280	PARP10	Parp10
281	CREB1	Creb1
282	PSEN1	Psen1
283	CDKN2AIP	Cdkn2aip
284	C5AR1	C5ar1
285	VASP	Vasp
286	CER1	Cer1
287	SDHA	Sdha
288	CD3D	Cd3d
289	MED26	Med26
290	TMEM140	Tmem140
291	SENP2	Senp2
292	MDH1	Mdh1
293	MUC13	Muc13
294	PIGQ	Pigq
295	IFNL3	Ifnl2
296	IFNL3	Ifnl3
297	SPDEF	Spdef
298	SYT16	Syt16
299	NTRK1	Ntrk1
300	F2RL3	F2rl3
301	FBLL1	Fbll1
302	SLC39A4	Slc39a4
303	PDE6A	Pde6a
304	CAMK2A	Camk2a
305	CTLA4	Ctla4
306	NKD2	Nkd2
307	APOL6	Apol6
308	PARP9	Parp9
309	C8G	C8g
310	DUSP9	Dusp9
311	HNRNPA0	Hnrnpa0
312	BMP4	Bmp4
313	GRAP2	Grap2
314	PTGDS	Ptgds
315	BLNK	Blnk
316	IL4	Il4
317	ACTR2	Actr2
318	SLC7A7	Slc7a7
319	TRAF2	Traf2
320	NUDT3	Nudt3
321	FSTL4	Fstl4
322	PLD3	Pld3
323	GADD45A	Gadd45a
324	CFLAR	Cflar
325	EGFR	Egfr
326	MAMDC2	Mamdc2
327	TRIML2	Triml2
328	PAK2	Pak2
329	COL27A1	Col27a1
330	FKRP	Fkrp
331	ACTN1	Actn1
332	AKT2	Akt2
333	IL13	Il13
334	MAP3K13	Map3k13
335	CREB5	Creb5
336	CKMT2	Ckmt2
337	GPR156	Gpr156
338	SORBS1	Sorbs1
339	KHK	Khk
340	CCDC154	Ccdc154
341	PSMA3	Psma3
342	SNX12	Snx12
343	PYGL	Pygl
344	ZYX	Zyx
345	GSK3A	Gsk3a
346	JAK2	Jak2
347	IL1R1	Il1r1
348	ERF	Erf
349	PARP14	Parp14
350	LCP2	Lcp2
351	ASAH1	Asah1
352	DACT1	Dact1
353	PLN	Pln
354	FOXO1	Foxo1
355	LMF1	Lmf1
356	SOS2	Sos2
357	MXD3	Mxd3
358	BRAF	Braf
359	ELFN2	Elfn2
360	OPLAH	Oplah
361	CACFD1	Cacfd1
362	PPM1K	Ppm1k
363	RYR1	Ryr1
364	ANKRD1	Ankrd1
365	CSF1R	Csf1r
366	KIF12	Kif12
367	FAM98C	Fam98c
368	PSMB5	Psmb5
369	ARHGAP35	Arhgap35
370	MMRN2	Mmrn2
371	MAPK9	Mapk9
372	C1D	C1d
373	ANK3	Ank3
374	NOTCH3	Notch3
375	SLC8A2	Slc8a2
376	ZAP70	Zap70
377	NFKBIB	Nfkbib
378	IL6	Il6
379	BST2	Bst2
380	CASP3	Casp3
381	CASP8	Casp8
382	FSTL1	Fstl1
383	RTP4	Rtp4
384	PTEN	Pten
385	PGF	Pgf
386	MAP3K10	Map3k10
387	PHF24	Phf24
388	TREH	Treh
389	SPOCK2	Spock2
390	PHLDB3	Phldb3
391	DUSP4	Dusp4
392	MAP3K9	Map3k9
393	SMC4	Smc4
394	TYSND1	Tysnd1
395	GABRE	Gabre
396	STUB1	Stub1
397	TIMD4	Timd4
398	PKLR	Pklr
399	FAS	Fas
400	IKBKG	Ikbkg
401	TNK2	Tnk2
402	CD274	Cd274
403	SLC28A3	Slc28a3
404	PTX3	Ptx3
405	CPN2	Cpn2
406	SLC15A3	Slc15a3
407	ZNF398	Zfp398
408	MYO5B	Myo5b
409	FOS	Fos
410	ACO2	Aco2
411	ALG2	Alg2
412	FOXD4	Foxd4
413	GSK3B	Gsk3b
414	BAAT	Baat
415	OPN1LW	Opn1mw
416	RAF1	Raf1
417	CDRT1	Fbxw10
418	PIK3C2G	Pik3c2g
419	CAV3	Cav3
420	OAS2	Oas2
421	TENT5A	Tent5a
422	C3orf18	6430571L13Rik
423	ACVR1C	Acvr1c
424	MAPK11	Mapk11
425	PSMB6	Psmb6
426	DVL1	Dvl1
427	CFB	Cfb
428	CFB	Gm20547
429	STYK1	Styk1
430	ZNF781	Zfp84
431	C1orf162	I830077J02Rik
432	SRGAP3	Srgap3
433	MAP2K1	Map2k1
434	TNF	Tnf
435	SLC25A25	Slc25a25
436	SERPINC1	Serpinc1
437	DFFA	Dffa
438	ITPR2	Itpr2
439	AXDND1	Axdnd1
440	ITGA11	Itga11
441	PSMA1	Psma1
442	DLG4	Dlg4
443	DNAJB1	Dnajb1
444	TSHB	Tshb
445	NIM1K	Nim1k
446	IL6R	Il6ra
447	MAP2K4	Map2k4
448	ST3GAL2	St3gal2
449	NCK1	Nck1
450	IBA57	Iba57
451	HDAC11	Hdac11
452	ZFYVE27	Zfyve27
453	HMOX1	Hmox1
454	COL4A4	Col4a4
455	UCP3	Ucp3
456	CRK	Crk
457	AGFG1	Agfg1
458	ZCCHC2	Zcchc2
459	FAIM2	Faim2
460	NAGK	Nagk
461	PLCB2	Plcb2
462	RNF43	Rnf43
463	NUAK1	Nuak1
464	MPI	Mpi
465	DAXX	Daxx
466	SERPING1	Serping1
467	LCK	Lck
468	LRP1	Lrp1
469	TBXA2R	Tbxa2r
470	DDIT3	Ddit3
471	NDUFC2	Ndufc2
472	PTPN13	Ptpn13
473	RASL12	Rasl12
474	KBTBD8	Kbtbd8
475	CERK	Cerk
476	ATP4A	Atp4a
477	IFI44L	Ifi44l
478	CPM	Cpm
479	PLD6	Pld6
480	ARTN	Artn
481	RPN1	Rpn1
482	LRIG2	Lrig2
483	MYLK3	Mylk3
484	DYRK2	Dyrk2
485	NKD1	Nkd1
486	ABL2	Abl2
487	BHLHE41	Bhlhe41
488	GRB7	Grb7
489	CGAS	Cgas
490	DHX58	Dhx58
491	CDC14A	Cdc14a
492	FH	Fh1
493	ITPKA	Itpka
494	CDC42	Cdc42
495	KCNH3	Kcnh3
496	ZBTB7A	Zbtb7a
497	CXCL11	Cxcl11
498	C6orf226	2310039H08Rik
499	PNMA2	Pnma2
500	MRAS	Mras
501	RHO	Rho
502	SDSL	Sdsl
503	FRAT1	Frat1
504	FRAT1	Peg12
505	TNXB	Tnxb
506	ABL1	Abl1
507	DUSP6	Dusp6
508	NFKB2	Nfkb2
509	NFAT5	Nfat5
510	CDK5R1	Cdk5r1
511	EGR3	Egr3
512	CFD	Cfd
513	USP49	Usp49
514	MRM1	Mrm1
515	RDX	Rdx
516	LAG3	Lag3
517	ESM1	Esm1
518	CRP	Crp
519	DGKQ	Dgkq
520	GPANK1	Gpank1
521	BCAR1	Bcar1
522	RPS6KB1	Rps6kb1
523	KLF15	Klf15
524	ASPM	Aspm
525	NME1	Nme1
526	MAP2K2	Map2k2
527	RASGRP3	Rasgrp3
528	HAS3	Has3
529	SP9	Sp9
530	SRF	Srf
531	ILK	Ilk
532	RPS6KA3	Rps6ka3
533	RGCC	Rgcc
534	MAP3K20	Map3k20
535	DKK3	Dkk3
536	RPS6KA1	Rps6ka1
537	PLEKHA4	Plekha4
538	MAPK12	Mapk12
539	AVIL	Avil
540	TMPRSS9	Tmprss9
541	ITGA3	Itga3
542	VWA7	Vwa7
543	FRS2	Frs2
544	RPL36	Rpl36
545	TP53	Trp53
546	XAF1	Xaf1
547	PIK3R1	Pik3r1
548	ITFG2	Itfg2
549	ZNF473	Zfp473
550	SPATA2L	Spata2l
551	WDR18	Wdr18
552	VHLL	Vhl
553	PSMB4	Psmb4
554	RAD51D	Rad51d
555	SERPINA3	Serpina3a
556	SERPINA3	Serpina3b
557	SERPINA3	Serpina3c
558	SERPINA3	Serpina3f
559	SERPINA3	Serpina3g
560	SERPINA3	Serpina3i
561	SERPINA3	Serpina3j
562	SERPINA3	Serpina3k
563	SERPINA3	Serpina3m
564	SERPINA3	Serpina3n
565	BAX	Bax
566	HSPA1B	Hspa1b
567	HSPA1B	Hspa1a
568	CXXC4	Cxxc4
569	ATP5F1D	Atp5d
570	CAMP	Camp
571	APC2	Apc2
572	KCNE4	Kcne4
573	TUBA1A	Tuba1a
574	ITPR1	Itpr1
575	IFNB1	Ifnb1
576	MPLKIP	Gm7102
577	MAP3K1	Map3k1
578	FMOD	Fmod
579	RASAL1	Rasal1
580	PSMA4	Psma4
581	TRARG1	Trarg1
582	REXO1	Rexo1
583	IFIH1	Ifih1
584	TENT4B	Tent4b
585	PTPRC	Ptprc
586	PPRC1	Pprc1
587	GNA15	Gna15
588	KLHDC8B	Klhdc8b
589	RAPSN	Rapsn
590	PIK3CD	Pik3cd
591	KCNJ3	Kcnj3
592	DAPP1	Dapp1
593	FAF1	Faf1
594	JUN	Jun
595	CCL15	Ccl9
596	CCL15	Ccl6
597	ANKAR	Ankar
598	BTK	Btk
599	DEDD	Dedd
600	CHTF8	Chtf8
601	ITGA7	Itga7
602	SLC16A13	Slc16a13
603	HSPA5	Hspa5
604	KIF14	Kif14
605	PIAS3	Pias3
606	CD55	Cd55b
607	CD55	Cd55
608	NGEF	Ngef
609	CHD5	Chd5
610	PDE6B	Pde6b
611	HSD17B2	Hsd17b2
612	UBAP1L	Ubap1l
613	NPPA	Nppa
614	ABTB2	Abtb2
615	RAP1GAP	Rap1gap
616	SOS1	Sos1
617	ADH1B	Adh1
618	MAP3K12	Map3k12
