HGNC.symbol	MGI.symbol
7052	GSTZ1	Gstz1
7053	FUT8	Fut8
7054	SYNJ2BP-COX16	Gm20498
7055	ABHD12B	Abhd12b
7056	SIPA1L1	Sipa1l1
7057	MDGA2	Mdga2
7058	ZC2HC1C	Zc2hc1c
7059	TBPL2	Tbpl2
7060	BATF	Batf
7061	PSMB11	Psmb11
7062	SIX6	Six6
7063	ACOT2	Acot2
7064	ACOT2	Acot1
7065	ACOT2	Gm49366
7066	ACOT2	Acot3
7067	ACOT2	Acot5
7068	ACIN1	Acin1
7069	AKAP5	Akap5
7070	CGRRF1	Cgrrf1
7071	CNIH1	Cnih1
7072	ANGEL1	Angel1
7073	RHOJ	Rhoj
7074	HOMEZ	Homez
7075	CHURC1	Churc1
7076	EXOC5	Exoc5
7077	POLE2	Pole2
7078	ESR2	Esr2
7079	MLH3	Mlh3
7080	SLC35F4	Slc35f4
7081	CCDC177	Ccdc177
7082	ACOT1	Acot2
7083	ACOT1	Acot1
7084	ACOT1	Gm49366
7085	ACOT1	Acot3
7086	ACOT1	Acot5
7087	SLC10A1	Slc10a1
7088	SYNE2	Syne2
7089	CCDC175	Ccdc175
7090	SEC23A	Sec23a
7091	CMTM5	Cmtm5
7092	GPR137C	Gpr137c
7093	CCDC88C	Ccdc88c
7094	EML5	Eml5
7095	CMA1	Cma1
7096	PSMC1	Psmc1
7097	EXOC3L4	Exoc3l4
7098	FITM1	Fitm1
7099	TTC7B	Ttc7b
7100	CCDC85C	Ccdc85c
7101	JKAMP	4931417E11Rik
7102	ASB2	Asb2
7103	DIO3	Dio3
7104	GPR68	Gpr68
7105	SDR39U1	Sdr39u1
7106	TMEM179	Tmem179
7107	MIR496	Mir496a
7108	YY1	Yy1
7109	MIR412	Mir412
7110	MIR154	Mir154
7111	SERPINA5	Serpina5
7112	SYNE3	Syne3
7113	CHGA	Chga
7114	TSSK4	Tssk4
7115	GZMH	Gzme
7116	GZMH	Gzmd
7117	GZMH	Gzmg
7118	GZMH	Gzmn
7119	GZMH	Gzmf
7120	GZMH	Gzmc
7121	GZMH	Gzmb
7122	SLC25A47	Slc25a47
7123	DYNC1H1	Dync1h1
7124	ASPG	Aspg
7125	BTBD7	Btbd7
7126	MOK	Mok
7127	MIR382	Mir382
7128	SLC24A4	Slc24a4
7129	CPSF2	Cpsf2
7130	TDP1	Tdp1
7131	MIR541	Mir541
7132	CALM1	Calm1
7133	NEDD8	Nedd8
7134	GOLGA5	Golga5
7135	VRK1	Vrk1
7136	STON2	Ston2
7137	KLC1	Klc1
7138	CCNK	Ccnk
7139	MIR409	Mir409
7140	TSHR	Tshr
7141	PTPN21	Ptpn21
7142	UNC79	Unc79
7143	MIR770	Mir770
7144	COA8	Coa8
7145	SERPINA12	Serpina12
7146	WDR20	Wdr20
7147	GON7	Gm28051
7148	GON7	Gm20604
7149	GON7	Gon7
7150	CARMIL3	Carmil3
7151	MIR134	Mir134
7152	TRMT61A	Trmt61a
7153	ATXN3	Atxn3
7154	FAM181A	Fam181a
7155	RCOR1	Rcor1
7156	FOXN3	Foxn3
7157	CLMN	Clmn
7158	MIR345	Mir345
7159	MIR203B	Mir203
7160	MARK3	Mark3
7161	PSME1	Psme1
7162	TMEM251	Tmem251
7163	ZC3H14	Zc3h14
7164	BCL11B	Bcl11b
7165	KCNK13	Kcnk13
7166	TCL1A	Tcl1
7167	ZFYVE21	Zfyve21
7168	SPATA7	Spata7
7169	AMN	Amn
7170	RABGGTA	Rabggta
7171	ZNF839	Zfp839
7172	ATP5MPL	Atp5mpl
7173	KCNK10	Kcnk10
7174	UBR7	Ubr7
7175	DDX24	Ddx24
7176	EFCAB11	Efcab11
7177	CEP128	Cep128
7178	NDUFB1	Ndufb1
7179	DGLUCY	Dglucy
7180	GTF2A1	Gtf2a1
7181	IPO4	Ipo4
7182	WDR25	Wdr25
7183	CPNE6	Cpne6
7184	DHRS1	Dhrs1
7185	TCL1B	Tcl1b2
7186	TCL1B	Tcl1b1
7187	TCL1B	Tcl1b5
7188	TCL1B	Tcl1b3
7189	TCL1B	Tcl1b4
7190	MIR127	Mir127
7191	PPP4R3A	Ppp4r3a
7192	CKB	Ckb
7193	MIR381	Mir381
7194	PRIMA1	Prima1
7195	MIR337	Mir337
7196	C14orf132	D430019H16Rik
7197	MIR665	Mir665
7198	TTC8	Ttc8
7199	ITPK1	Itpk1
7200	GLRX5	Glrx5
7201	BEGAIN	Begain
7202	FBLN5	Fbln5
7203	MIR370	Mir370
7204	ATG2B	Atg2b
7205	MIR323A	Mir323
7206	EVL	Evl
7207	RIN3	Rin3
7208	MIR668	Mir668
7209	KIF26A	Kif26a
7210	NFATC4	Nfatc4
7211	MIR299	Mir299a
7212	XRCC3	Xrcc3
7213	PPP2R5C	Ppp2r5c
7214	RPS6KA5	Rps6ka5
7215	MIR342	Mir342
7216	GSKIP	Gskip
7217	KHNYN	Khnyn
7218	GMPR2	Gmpr2
7219	MIR410	Mir410
7220	PAPOLA	Papola
7221	NOP9	Nop9
7222	CATSPERB	Catsperb
7223	ADCK1	Adck1
7224	NRDE2	Nrde2
7225	RD3L	Rd3l
7226	TDRD9	Tdrd9
7227	MIR431	Mir431
7228	EML1	Eml1
7229	CINP	Cinp
7230	CTSG	Ctsg
7231	SERPINA11	Serpina11
7232	MIR494	Mir494
7233	DLK1	Dlk1
7234	SERPINA9	Serpina9
7235	TM9SF1	Gm49378
7236	TM9SF1	Tm9sf1
7237	NRL	Nrl
7238	CDC42BPB	Cdc42bpb
7239	HHIPL1	Hhipl1
7240	SETD3	Setd3
7241	NYNRIN	Nynrin
7242	CBLN3	Cbln3
7243	CIDEB	Cideb
7244	MIR433	Mir433
7245	BDKRB1	Bdkrb1
7246	MIR377	Mir377
7247	AK7	Ak7
7248	TC2N	Tc2n
7249	LTB4R2	Ltb4r2
7250	BAG5	Bag5
7251	GALC	Galc
7252	TRIP11	Trip11
7253	HSP90AA1	Hsp90aa1
7254	DCAF11	Dcaf11
7255	GPR65	Gpr65
7256	CYP46A1	Cyp46a1
7257	TECPR2	Tecpr2
7258	DICER1	Dicer1
7259	GSC	Gsc
7260	SERPINA1	Serpina1b
7261	SERPINA1	Serpina1d
7262	SERPINA1	Serpina1a
7263	SERPINA1	Serpina1c
7264	SERPINA1	Serpina1e
7265	RPPH1-2P	Gm22817
7266	SNORD127	Gm25970
7267	SCARNA13	Gm26489
7268	SCARNA13	Gm25624
7269	RN7SL472P	Gm22876
7270	RNU6-864P	Gm22971
7271	RNU6-398P	Gm25142
7272	SNORD113-3	Gm24564
7273	RNU6-419P	Gm26129
7274	RN7SL714P	Gm22701
7275	SNORA79	Gm24241
7276	RNU2-33P	Gm24763
7277	RNU6-1316P	Gm22454
7278	RNU6-1046P	Gm26424
7279	RNU11-5P	Gm25785
7280	MAPK1IP1L	Mapk1ip1
7281	RNU4-92P	Gm25995
7282	SNORD114-14	Gm23787
7283	COX8C	Cox8b
7284	RNU6-684P	Gm25599
7285	SNORD114-27	Gm25224
7286	NSMCE3	Nscme3l
7287	EIF3J	Eif3j2
7288	RPLP1	Gm5244
7289	LINC02203	Olfr732
7290	LINC02203	Olfr733
7291	HIGD2B	Higd2a
7292	OR4M2	Olfr734
7293	OR4N4	Olfr732
7294	OR4N4	Olfr733
7295	RFX7	Rfx7
7296	GOLGA8N	Golga2
7297	IGHV8-51-1	Ighv5-2
7298	IGHV8-51-1	Ighv5-4
7299	IGHV8-51-1	Ighv5-6
7300	IGHV8-51-1	Ighv5-9
7301	IGHV8-51-1	Ighv5-12
7302	IGHV8-51-1	Ighv5-9-1
7303	IGHV8-51-1	Ighv5-12-4
7304	IGHV8-51-1	Ighv5-15
7305	IGHV8-51-1	Ighv5-16
7306	IGHV8-51-1	Ighv5-17
7307	IGHV8-51-1	Ighv16-1
7308	PARP16	Parp16
7309	SNX22	Snx22
7310	PPIP5K1	Ppip5k1
7311	SPESP1	Spesp1
7312	GABRA5	Gabra5
7313	IGHV2-70	Ighv8-2
7314	IGHV2-70	Ighv8-4
7315	IGHV2-70	Ighv8-5
7316	IGHV2-70	Ighv8-6
7317	IGHV2-70	Ighv8-8
7318	IGHV2-70	Ighv8-9
7319	IGHV2-70	Ighv8-11
7320	IGHV2-70	Ighv8-12
7321	IGHV2-70	Ighv8-13
7322	SMAD6	Smad6
7323	NUTM1	Nutm1
7324	BTBD6	Btbd6
7325	MIR190A	Mir190a
7326	DMXL2	Dmxl2
7327	GOLGA8Q	Golga2
7328	PIGB	Pigb
7329	VPS39	Vps39
7330	TMOD2	Tmod2
7331	JAG2	Jag2
7332	GTF2A2	Gtf2a2
7333	NR2E3	Nr2e3
7334	FMN1	Fmn1
7335	WDR72	Wdr72
7336	ONECUT1	Onecut1
7337	PACS2	Pacs2
7338	NDUFAF1	Ndufaf1
7339	KATNBL1	Katnbl1
7340	SNURF	Gm38393
7341	SNURF	Snurf
7342	ZNF609	Zfp609
7343	AQR	Aqr
7344	AVEN	Aven
7345	RAB27A	Rab27a
7346	GOLGA6B	Golga2
7347	BLOC1S6	Bloc1s6
7348	ICE2	Ice2
7349	KIF23	Kif23
7350	MAPKBP1	Mapkbp1
7351	IGHA1	Igha
7352	SLTM	Sltm
7353	POLR2M	Polr2m
7354	ARHGAP11B	Arhgap11a
7355	GLCE	Glce
7356	TRPM1	Trpm1
7357	PIGBOS1	Pigbos1
7358	GOLGA8J	Golga2
7359	LIPC	Lipc
7360	SPG21	Spg21
7361	UNC13C	Unc13c
7362	HAUS2	Haus2
7363	DIS3L	Dis3l
7364	PPIB	Ppib
7365	RNF111	Rnf111
7366	CHST14	Chst14
7367	SENP8	Senp8
7368	TCF12	Tcf12
7369	GOLGA8T	Golga2
7370	SQOR	Sqor
7371	NIPA1	Nipa1
7372	ACTC1	Actc1
7373	GLDN	Gldn
7374	MTMR10	Mtmr10
7375	AAGAB	Aagab
7376	ZNF106	Zfp106
7377	RMDN3	Rmdn3
7378	TMOD3	Tmod3
7379	IGHV4OR15-8	Ighv3-1
7380	IGHV4OR15-8	Ighv3-3
7381	IGHV4OR15-8	Ighv3-4
7382	IGHV4OR15-8	Ighv3-5
7383	IGHV4OR15-8	Ighv3-6
7384	IGHV4OR15-8	Ighv3-8
7385	IGHV4OR15-8	Ighv12-3
7386	GOLGA8M	Golga2
7387	RPLP1	Rplp1
7388	SIVA1	Siva1
7389	TRIP4	Trip4
7390	IGHV3-74	Ighv4-1
7391	IGHV3-74	Ighv11-1
7392	IGHV3-74	Ighv11-2
7393	HERC2	Herc2
7394	CHRNA7	Chrna7
7395	TGM7	Tgm7
7396	IGHV4-31	Ighv3-1
7397	IGHV4-31	Ighv3-3
7398	IGHV4-31	Ighv3-4
7399	IGHV4-31	Ighv3-5
7400	IGHV4-31	Ighv3-6
7401	IGHV4-31	Ighv3-8
7402	IGHV4-31	Ighv12-3
7403	CIAO2A	Ciao2a
7404	PARP6	Parp6
7405	IGHV4-61	Ighv3-1
7406	IGHV4-61	Ighv3-3
7407	IGHV4-61	Ighv3-4
7408	IGHV4-61	Ighv3-5
7409	IGHV4-61	Ighv3-6
7410	IGHV4-61	Ighv3-8
7411	IGHV4-61	Ighv12-3
7412	SEMA6D	Sema6d
7413	IGHV7-4-1	Ighv9-1
7414	IGHV7-4-1	Ighv9-2
7415	IGHV7-4-1	Ighv9-3
7416	IGHV7-4-1	Ighv9-4
7417	MYO1E	Myo1e
7418	TIPIN	Tipin
7419	IGHV4-34	Ighv3-1
7420	IGHV4-34	Ighv3-3
7421	IGHV4-34	Ighv3-4
7422	IGHV4-34	Ighv3-5
7423	IGHV4-34	Ighv3-6
7424	IGHV4-34	Ighv3-8
7425	IGHV4-34	Ighv12-3
7426	CALML4	Calml4
7427	GOLGA8O	Golga2
7428	PDCD7	Pdcd7
7429	ADAM10	Adam10
7430	ZNF280D	Zfp280d
7431	FAM189A1	Fam189a1
7432	DPH6	Dph6
7433	EIF3J	Eif3j1
7434	BNIP2	Bnip2
7435	TYRO3	Tyro3
7436	ANKDD1A	Ankdd1a
7437	UACA	Uaca
7438	IGHV4-59	Ighv3-1
7439	IGHV4-59	Ighv3-3
7440	IGHV4-59	Ighv3-4
7441	IGHV4-59	Ighv3-5
7442	IGHV4-59	Ighv3-6
7443	IGHV4-59	Ighv3-8
7444	IGHV4-59	Ighv12-3
7445	IGHM	Ighm
7446	UBR1	Ubr1
7447	MINDY2	Mindy2
7448	MTFMT	Mtfmt
7449	KBTBD13	Kbtbd13
7450	DENND4A	Dennd4a
7451	SHF	Shf
7452	MNS1	Mns1
7453	TLE3	Tle3
7454	PIF1	Pif1
7455	MEGF11	Megf11
7456	TMCO5A	Tmco5
7457	SLC24A1	Slc24a1
7458	CDAN1	Cdan1
7459	SLC24A5	Slc24a5
7460	KLF13	Klf13
7461	GOLGA8G	Golga2
7462	GJD2	Gjd2
7463	LRRC49	Lrrc49
7464	IGHA2	Igha
7465	GOLGA8F	Golga2
7466	TUBGCP5	Tubgcp5
7467	SMAD3	Smad3
7468	LRRC57	Lrrc57
7469	IGHV4-28	Ighv3-1
7470	IGHV4-28	Ighv3-3
7471	IGHV4-28	Ighv3-4
7472	IGHV4-28	Ighv3-5
7473	IGHV4-28	Ighv3-6
7474	IGHV4-28	Ighv3-8
7475	IGHV4-28	Ighv12-3
7476	CGNL1	Cgnl1
7477	ZNF770	Zfp770
7478	TEX9	Tex9
7479	OTUD7A	Otud7a
7480	GANC	Ganc
7481	GANC	Gm52968
7482	TJP1	Tjp1
7483	CLN6	Cln6
7484	FBXL22	Fbxl22
7485	NIPA2	Nipa2
7486	FAM98B	Fam98b
7487	SPTBN5	Sptbn5
7488	SCG3	Scg3
7489	LARP6	Larp6
7490	MIR147B	Mir147
7491	IGHV7-81	Ighv9-1
7492	IGHV7-81	Ighv9-2
7493	IGHV7-81	Ighv9-3
7494	IGHV7-81	Ighv9-4
7495	GABRB3	Gabrb3
7496	GOLGA8A	Golga2
7497	BBS4	Bbs4
7498	RPUSD2	Rpusd2
7499	ANP32A	Anp32a
7500	CAPN3	Capn3
7501	RSL24D1	Rsl24d1
7502	TUBGCP4	Tubgcp4
7503	LPCAT4	Lpcat4
7504	INTS14	Ints14
7505	CDCA4	Cdca4
7506	GCOM1	Myzap
7507	KNSTRN	Knstrn
7508	IGHV2-26	Ighv8-2
7509	IGHV2-26	Ighv8-4
7510	IGHV2-26	Ighv8-5
7511	IGHV2-26	Ighv8-6
7512	IGHV2-26	Ighv8-8
7513	IGHV2-26	Ighv8-9
7514	IGHV2-26	Ighv8-11
7515	IGHV2-26	Ighv8-12
7516	IGHV2-26	Ighv8-13
7517	GNB5	Gnb5
7518	CRIP2	Crip2
7519	GPR176	Gpr176
7520	ADAL	Adal
7521	TMEM87A	Tmem87a
7522	INF2	Inf2
7523	GOLGA8B	Golga2
7524	LCTL	Lctl
7525	BCL2L10	Bcl2l10
7526	MEIS2	Meis2
7527	IGHV2-70D	Ighv8-2
7528	IGHV2-70D	Ighv8-4
7529	IGHV2-70D	Ighv8-5
7530	IGHV2-70D	Ighv8-6
7531	IGHV2-70D	Ighv8-8
7532	IGHV2-70D	Ighv8-9
7533	IGHV2-70D	Ighv8-11
7534	IGHV2-70D	Ighv8-12
7535	IGHV2-70D	Ighv8-13
7536	ARPP19	Arpp19
7537	HACD3	Hacd3
7538	USP3	Usp3
7539	CLPX	Clpx
7540	SNX1	Snx1
7541	LACTB	Lactb
7542	SLC12A6	Slc12a6
7543	SLC12A6	Gm21985
7544	MYO5C	Myo5c
7545	LTK	Ltk
7546	EIF2AK4	Eif2ak4
7547	PATL2	Patl2
7548	IQCH	Iqch
7549	CCDC9B	Ccdc9b
7550	FAM81A	Fam81a
7551	CHRM5	Chrm5
7552	FRMD5	Frmd5
7553	MAP1A	Map1a
7554	ZWILCH	Zwilch
7555	FEM1B	Fem1b
7556	EMC7	Emc7
7557	C14orf180	A530016L24Rik
7558	ARHGAP11A	Arhgap11a
7559	NDN	Ndn
7560	EMC4	Emc4
7561	CSNK1G1	Csnk1g1
7562	CTDSPL2	Ctdspl2
7563	STRC	Strc
7564	VPS18	Vps18
7565	MAGEL2	Magel2
7566	DPP8	Dpp8
7567	RORA	Rora
7568	HYPK	Hypk
7569	SNAPC5	Snapc5
7570	MGA	Mga
7571	APBA2	Apba2
7572	SKOR1	Skor1
7573	PPP1R14D	Ppp1r14d
7574	OAZ2	Oaz2
7575	ZFYVE19	Zfyve19
7576	RAB11A	Rab11a
7577	CATSPER2	Catsper2
7578	BRF1	Brf1
7579	SLC30A4	Slc30a4
7580	ARIH1	Arih1
7581	MYO5A	Myo5a
7582	RYR3	Ryr3
7583	SERINC4	Serinc4
7584	NOP10	Nop10
7585	TERB2	Terb2
7586	HEXA	Hexa
7587	INAFM2	Inafm2
7588	C15orf65	Ccpg1os
7589	RPAP1	Rpap1
7590	INO80	Ino80
7591	CYFIP1	Cyfip1
7592	SORD	Sord
7593	GOLGA8K	Golga2
7594	FAM214A	Fam214a
7595	CHRFAM7A	Chrna7
7596	RTF1	Rtf1
7597	PYGO1	Pygo1
7598	APH1B	Aph1b
7599	APH1B	Aph1c
7600	MYO9A	Myo9a
7601	IGDCC3	Igdcc3
7602	ADPGK	Adpgk
7603	IGHV4-4	Ighv3-1
7604	IGHV4-4	Ighv3-3
7605	IGHV4-4	Ighv3-4
7606	IGHV4-4	Ighv3-5
7607	IGHV4-4	Ighv3-6
7608	IGHV4-4	Ighv3-8
7609	IGHV4-4	Ighv12-3
7610	NANOGP8	Nanog
7611	HERC1	Herc1
7612	PAQR5	Paqr5
7613	PRTG	Prtg
7614	PLA2G4D	Pla2g4d
7615	LCMT2	Lcmt2
7616	CA12	Car12
7617	CCPG1	Ccpg1
7618	MAPK6	Mapk6
7619	DNAJC17	Dnajc17
7620	DUOXA1	Duoxa1
7621	CEP170B	Cep170b
7622	GOLGA8H	Golga2
7623	SPG11	Spg11
7624	IGHV4-39	Ighv3-1
7625	IGHV4-39	Ighv3-3
7626	IGHV4-39	Ighv3-4
7627	IGHV4-39	Ighv3-5
7628	IGHV4-39	Ighv3-6
7629	IGHV4-39	Ighv3-8
7630	IGHV4-39	Ighv12-3
7631	FAN1	Fan1
7632	OCA2	Oca2
7633	RPL4	Rpl4
7634	ANKRD63	Ankrd63
7635	GRAMD2A	Gramd2
7636	SRP14	Srp14
7637	SLC28A2	Slc28a2
7638	SLC28A2	Slc28a2b
7639	CCDC32	Ccdc32
7640	CKMT1A	Ckmt1
7641	IGDCC4	Igdcc4
7642	FOXB1	Foxb1
7643	LEO1	Leo1
7644	PKM	Pkm
7645	CLBA1	Clba1
7646	TMEM121	Tmem121
7647	PDIA3	Pdia3
7648	PLD4	Pld4
7649	SNRPN	Snrpn
7650	CCNDBP1	Ccndbp1
7651	ALDH1A2	Aldh1a2
7652	DAPK2	Dapk2
7653	TEX22	Tex22
7654	SPINT1	Spint1
7655	THSD4	Thsd4
7656	DISP2	Disp2
7657	CHP1	Chp1
7658	ELL3	Ell3
7659	NUDT14	Nudt14
7660	TPM1	Tpm1
7661	IVD	Ivd
7662	DLL4	Dll4
7663	VPS13C	Vps13c
7664	EPB42	Epb42
7665	SNAP23	Snap23
7666	CILP	Cilp
7667	DNAAF4	Dnaaf4
7668	DNAAF4	Gm44503
7669	GOLGA8S	Golga2
7670	MTA1	Mta1
7671	IGHE	Ighe
7672	ZSCAN29	Zscan29
7673	PLA2G4B	Gm28042
7674	PLA2G4B	Pla2g4b
7675	IGHV3-73	Ighv13-2
7676	IGHV3-73	Ighv6-3
7677	IGHV3-73	Ighv6-4
7678	IGHV3-73	Ighv6-5
7679	IGHV3-73	Ighv6-6
7680	IGHV3-73	Ighv6-7
7681	IGHV3-73	Ighv10-1
7682	IGHV3-73	Ighv10-3
7683	TP53BP1	Trp53bp1
7684	EXD1	Exd1
7685	RBPMS2	Rbpms2
7686	GOLM2	Golm2
7687	GABRG3	Gabrg3
7688	IGHV2-5	Ighv8-2
7689	IGHV2-5	Ighv8-4
7690	IGHV2-5	Ighv8-5
7691	IGHV2-5	Ighv8-6
7692	IGHV2-5	Ighv8-8
7693	IGHV2-5	Ighv8-9
7694	IGHV2-5	Ighv8-11
7695	IGHV2-5	Ighv8-12
7696	IGHV2-5	Ighv8-13
7697	JMJD7-PLA2G4B	Gm28042
7698	JMJD7-PLA2G4B	Pla2g4b
7699	GOLGA8R	Golga2
7700	RNU6-745P	Gm24449
7701	CTXN2	Ctxn2
7702	SNORD116-4	Gm22584
7703	SNORD116-4	Gm26097
7704	SNORD107	Snord107
7705	SLC12A1	Slc12a1
7706	RNU6-749P	Gm23981
7707	SNORD116-6	Gm22584
7708	SNORD116-6	Gm26097
7709	DTWD1	Dtwd1
7710	CEP152	Cep152
7711	RNU6-1	Gm23924
7712	SLC27A2	Slc27a2
7713	SNORD116-5	Gm22584
7714	SNORD116-5	Gm26097
7715	SNORD115-46	Gm22496
7716	SNORD115-46	Gm25499
7717	HDC	Hdc
7718	COPS2	Cops2
7719	EID1	Eid1
7720	RNU4-80P	Gm22005
7721	RNU6-1235P	Gm24735
7722	SPPL2A	Sppl2a
7723	SNORD18B	Gm22571
7724	SNORD116-7	Gm22584
7725	SNORD116-7	Gm26097
7726	SNORD64	Snord64
7727	RNU6-94P	Gm26227
7728	RNU6-498P	Gm24735
7729	SNORD116-1	Gm22584
7730	SNORD116-1	Gm26097
7731	RNU1-119P	Gm22809
7732	TRPM7	Trpm7
7733	RNU6-686P	Gm24737
7734	SECISBP2L	Secisbp2l
7735	RNU6-1169P	Gm23515
7736	MIR1282	Gm22953
7737	ATP8B4	Atp8b4
7738	GABPB1	Gabpb1
7739	SNORD116-2	Gm22584
7740	SNORD116-2	Gm26097
7741	SNORD116-3	Gm22584
7742	SNORD116-3	Gm26097
7743	SCARNA14	Gm24289
7744	SNORD116-9	Gm22584
7745	SNORD116-9	Gm26097
7746	FBN1	Fbn1
7747	RNU1-78P	Gm22809
7748	SNORD116-8	Gm22584
7749	SNORD116-8	Gm26097
7750	FGF7	Fgf7
7751	RNU6-466P	Gm24437
7752	RNU6-466P	Gm25903
7753	RNU6-466P	Gm23080
7754	FAM227B	Fam227b
7755	SNORD116-10	Gm22373
7756	SNORA24B	Gm23482
7757	SNORA24B	Gm26458
7758	DUT	Dut
7759	AP4E1	Ap4e1
7760	RNU6-631P	Gm23981
7761	GALK2	Galk2
7762	SNORD115-45	Gm22496
7763	SNORD115-45	Gm25499
7764	USP50	Usp50
7765	SNORD18C	Gm22455
7766	USP8	Usp8
7767	NAA60	Naa60
7768	TRAP1	Trap1
7769	OR2C1	Olfr15
7770	SRL	Srl
7771	DNASE1	Dnase1
7772	ZNF263	Zfp263
7773	CLUAP1	Gm20695
7774	CLUAP1	Cluap1
7775	MEFV	Mefv
7776	CORO7-PAM16	Coro7
7777	PAM16	Pam16
7778	SLX4	Slx4
7779	ADCY9	Adcy9
7780	ANKS3	Anks3
7781	CORO7	Coro7
7782	GLIS2	Glis2
7783	MGRN1	Mgrn1
7784	CDIP1	Cdip1
7785	ZNF174	Zfp174
7786	C16orf96	4930562C15Rik
7787	UBALD1	Ubald1
7788	HMOX2	Hmox2
7789	NMRAL1	Nmral1
7790	NLRC3	Nlrc3
7791	ZNF597	Zfp597
7792	OR1F1	Olfr161
7793	C16orf90	1700037C18Rik
7794	DNAJA3	Dnaja3
7795	CLDN6	Cldn6
7796	CLDN9	Cldn9
7797	E4F1	E4f1
7798	RNF151	Rnf151
7799	GFER	Gfer
7800	DNASE1L2	Dnase1l2
7801	SULT1A2	Sult3a2
7802	SULT1A2	Sult3a1
7803	KCTD5	Kctd5
7804	TBL3	Tbl3
7805	LINC00514	1520401A03Rik
7806	SRRM2	Srrm2
7807	SULT1A1	Sult3a2
7808	SULT1A1	Sult3a1
7809	ABCA3	Abca3
7810	CASKIN1	Caskin1
7811	SULT1A4	Sult3a2
7812	SULT1A4	Sult3a1
7813	PRSS22	Prss22
7814	PKD1	Pkd1
7815	ZNF598	Zfp598
7816	HCFC1R1	Hcfc1r1
7817	FLYWCH2	Flywch2
7818	FLYWCH1	Flywch1
7819	ZG16B	Sbpl
7820	AMDHD2	Amdhd2
7821	NTN3	Ntn3
7822	ELOB	Elob
7823	MMP25	Mmp25
7824	PGP	Pgp
7825	RNPS1	Rnps1
7826	KREMEN2	Kremen2
7827	TRAF7	Traf7
7828	ZNF213	Zfp213
7829	ECI1	Eci1
7830	ATP6V0C	Atp6v0c
7831	ALDOA	Aldoart2
7832	PRSS33	Prss33
7833	ZNF205	Zfp13
7834	TBC1D24	Tbc1d24
7835	ZSCAN10	Zscan10
7836	TSC2	Tsc2
7837	NOXO1	Noxo1
7838	BRICD5	Bricd5
7839	PRSS21	Prss21
7840	SULT1A3	Sult3a2
7841	SULT1A3	Sult3a1
7842	NTHL1	Nthl1
7843	SLC9A3R2	Slc9a3r2
7844	MEIOB	Meiob
7845	CCNF	Ccnf
7846	MLST8	Mlst8
7847	RPL3L	Rpl3l
7848	RPS2	Rps2
7849	PAQR4	Paqr4
7850	CACNA1H	Cacna1h
7851	EME2	Eme2
7852	HBA2	Hba-a1
7853	HBA2	Hba-a2
7854	WFIKKN1	Wfikkn1
7855	TELO2	Telo2
7856	HAGH	Hagh
7857	HBZ	Hba-x
7858	CAPN15	Capn15
7859	FBXL16	Fbxl16
7860	ZNF200	Zfp65
7861	MPG	Mpg
7862	HBQ1	Hbq1b
7863	HBQ1	Hbq1a
7864	LUC7L	Luc7l
7865	CLCN7	Clcn7
7866	PRR35	A930017K11Rik
7867	MSLN	Msln
7868	TPSG1	Tpsg1
7869	NME4	Nme4
7870	RGS11	Rgs11
7871	DECR2	Decr2
7872	C16orf91	BC003965
7873	TSR3	Tsr3
7874	CIAO3	Ciao3
7875	NHLRC4	Nhlrc4
7876	MCRIP2	Mcrip2
7877	NUBP2	Nubp2
7878	ALDOA	Aldoart1
7879	PERCC1	Percc1
7880	MRPL28	Mrpl28
7881	GNPTG	Gnptg
7882	WDR24	Wdr24
7883	RHBDF1	Rhbdf1
7884	NPRL3	Nprl3
7885	HAGHL	Haghl
7886	FAM234A	Fam234a
7887	RAB11FIP3	Rab11fip3
7888	RAMAC	Gm10767
7889	JMJD8	Jmjd8
7890	IGFALS	Igfals
7891	PAM16	Gm9803
7892	SOX8	Sox8
7893	UBE2I	Ube2i
7894	RHOT2	Gm20683
7895	RHOT2	Rhot2
7896	IFT140	Ift140
7897	UNKL	Unkl
7898	MRPS34	Mrps34
7899	ANTKMT	Antkmt
7900	ANTKMT	Gm50367
7901	RAB40C	Rab40c
7902	JPT2	Jpt2
7903	RPUSD1	Rpusd1
7904	PGAP6	Pgap6
7905	TMEM204	Tmem204
7906	PTX4	Ptx4
7907	GNG13	Gng13
7908	CRAMP1	Cramp1l
7909	ARHGDIG	Arhgdig
7910	PDIA2	Pdia2
7911	RHBDL1	Rhbdl1
7912	NME3	Nme3
7913	MSLNL	Mslnl
7914	FAHD1	Fahd1
7915	METTL26	Mettl26
7916	CCDC33	Ccdc33
7917	RPS15A	Rps15a
7918	ZFAND6	Zfand6
7919	SULT1A4	Sult5a1
7920	SULT1A4	Sult6b2
7921	NMB	Nmb
7922	PPCDC	Ppcdc
7923	ASB7	Asb7
7924	COQ7	Coq7
7925	SNUPN	Snupn
7926	REC114	Rec114
7927	SDR42E2	Gm5737
7928	SULT1A1	Sult5a1
7929	FBXO22	Fbxo22
7930	ST20-MTHFS	Mthfsl
7931	ST20-MTHFS	Mthfs
7932	FES	Fes
7933	CD276	Cd276
7934	ZSCAN2	Zscan2
7935	MRPS11	Mrps11
7936	GGA2	Gga2
7937	ANKRD34C	Ankrd34c
7938	XYLT1	Xylt1
7939	FSD2	Fsd2
7940	PTPN9	Ptpn9
